itemid,username,userid,ctime,rating,comment,fakeornot,confidence level
6644641216,j*****h,46848249,1657270041,5,Fast Delivery (got it within 2 days). Parcel received in good conditions without any damage. A professional Seller  all reams of papers are placed neatly in the box. Will introduce more friends to buy from this seller.,0,0
6644641216,louis.shopaholic,271585449,1658896073,5,Fast delivery. Received after 2 days order. Seller is fast reply. Most important the item is well wrapped  all came in good condition. Although the delivery man sent wrong door but immediately respond and delivery to me. Happy with my purchase  will order from this seller from now on.,0,0
6644641216,jasonx19,139358323,1658542217,5,Great seller  my go to supplier for these things. Always fast ship out and delivery. Things are decently packed and arrive in good condition. No need to say more about paper  it works as intended with my HP laser printer.,0,0
6644641216,g*****8,226853814,1654699789,5,Quality:Good thick paper quality (100gm)  Prefer to order 100gm paper which is thicker  not not filmsy and good for documents. Package of the 2 reams packed inside a box is well-wrapped with shrinkwraped.,0,0
6644641216,kahyeeeee,241778325,1653564808,5,Quality:good  Prompt delivery! These two of paper can obviously see the colour variant. The left one is 80gsm and the right one is 70gsm which I bought last time. Overall  I prefer 80gsm. Satisfied with my purchase thx seller.,0,0
6644641216,r*****8,223249597,1696433497,5,The printing paper arrived today after three days. The delivery was fast and the papers were received in good condition. Valued for the price. In future will buy from this seller. Good service,0,0
6644641216,alvinlimct,97060218,1702519296,5,Quality:Good  Glad that seller packed and wrapped well. Wrappers for both reams of paper remain intact and was not damaged in the process of delivery.,0,0
6644641216,rikuzo,166195344,1703759100,5,Quality:good  Happy to receive it. Came just in time  need to use it. First time buying it from on line. Thank you seller and delivery man.,0,0
6644641216,j*****k,87276519,1602041801,5,the delivery was made quite quickly  can’t remember exactly how many days but i’m sure the delivery was made within a week. it came in good condition too  packaged well with protection! ,0,0
6644641216,a*****e,108199693,1670980424,5,Quality:Good  First time purchasing from this seller. Delivery was prompt. Received item in good condition. Item was well packed. Hope to see more discounts and shop voucher. Thank you seller.,0,0
6644641216,v*****o,95277908,1637153577,5,bought 2 70gsm and 1 80gsm papers and it came in a box (pic and video attached). Paper quality is like  paper  lol so all is good. Idk why I bought so many though lol. Guess it’ll be sometime before I repurchase!,0,0
6644641216,c*****h,152147859,1680100578,5,Quality:good quality for 80g  good quality for 80g. Nicely wrapped in a box. Prompt delivery. Within days. Though have to buy 2 rims but happy with the products.Will buy again.,0,0
6644641216,d*****8,229839367,1693980056,5,Items came well packed and protected. Very good supplier with fast delivery. Will order again for office use. Hope u have 85gsm A4 stocks. Hope to see promotions too. Thks,0,0
6644641216,,253700654,1635864481,5,It arrived 3 days after I placed the order.  The packaging is very polite and the paper quality looks good. (I haven't used it yet)  I will buy it here again.,0,0
6644641216,p*****y,93381958,1639643488,5,Received very fast within 1-2 days good quality. Thank you very much! (note I have opened to take the paper in the pic and video. The actual product came sealed).  Side note: it came with quite a lot of bubble wrap - perhaps can use less to reduce packaging material,0,0
6644641216,lovelyhome11,1360580,1632899755,5,Paper delivered very well in Bubble wrap and no dents st all. Very good product highly recommended. Looks so CUTE! Because I wanted to buy A4 size and select A5 instead.,0,0
6644641216,mvcliffe,98258839,1651280077,5,This ream may cost a little bit more by $2-3 than other shops but it is worth it for you know that the product will arrive well packed or you can reach out to the customer service easily.,0,0
6644641216,michael.leonglko,332559277,1626868407,5,Well received with bubble wrap. Fast delivery within a few days. Good quality for office paper. Price are good. Good part no need to carry send to my door step. Thanks seller for the offer. ,0,0
6644641216,n*****4,124887075,1661740564,5,Quality:good enough for normal printing and was packed nicely!  Very fast delivery  ordered at night and received the next morning. Bubble packed nicely so no dent to the paper.,0,0
6644641216,w*****h,305131072,1619929480,5,Fast delivery and well packed! Good quality! Good for doing sketches or even using marker on the paper as it doesn’t see thru from the other side.,0,0
6644641216,genevievegasper,132200675,1641278937,5,Great seller. Superfast 2day delivery. Double wrapped and seller even added extra wrapping around edges. Bought at great deal on 1.1. Should have bought more.,0,0
6644641216,s*****b,239512,1689660173,5,Quality:Good  Items delivered as described! The quality of the materials should be good  though i have not started using it. The delivery duration was considered reasonable since it was from a local seller.,0,0
6644641216,princessemyng,270031858,1692836456,5,Quality:good enough. i got the thinnest papers as they are good enough for me. There are 3 varietiea to choose from (thin  medium  thick)  Price: cheaper than outside and got it during sales Delivery: Fast  In 1-2 days. Delivery was smooth and it was left outside my house Would I recommend this seller: Yes Would I buy from this seller again: Yes,0,0
6644641216,angangbohailang,867130215,1704286024,5,Received correctly and very nicely wrapped. Delivery person is polite and friendly too  most important is he knocked on my door  as nowadays delivery person usually just leave the item at the door way and run  they never knock on the door! This person is very good.,0,0
6644641216,s*****v,327917019,1702960090,5,Quality:good  Item received in good condition. Bought during flash sales. First time buy A5 size paper. Is very cheap. Always use this brand A4 size. Thank you seller.,0,0
6644641216,g*****e,1718193,1641300477,5,So cheap:) very good wrapping not sure why I can’t upload however seller wrap it with two layer of bubble wrap as well as cling wrap which I thought was good as it ensure that the papers wouldn’t get destroyed during delivery:) THANK YOU super fast delivery too.,0,0
6644641216,diyafadhullullah,100487895,1666441252,5,Quality:LOVE!  I think its my 3rd-4th time repeat purchase? Always love how secure and tidy their packing is and it reach to me in perfect condition.,0,0
6644641216,charlenepangcck,75203436,1685433921,5,Repeated purchase from this seller. Items are always correct and nicely packed. Delivery is fast too! Ordered on weekends  tuesday delivery. Recommend to buy from this seller!,0,0
6644641216,a*****o,5418248,1615987728,5,Item was packed very properly and wrapped as to not get bent! The delivery was even better as it came the day after I ordered! 5 stars  ,0,0
6644641216,s*****a,225208968,1622684593,5,Item was received quite fast and packed well by seller. Bought this to print out calligraphy practice sheets. Paper is thick enough for double-side printing and suits calligraphy pen nibs.,0,0
6644641216,2216amy,278963010,1637256970,5,PaperOne A4/A5/A3 Paper 500 sheets in a ream/ Label  / 70gsm /80gsm /100gsm 1st time try online purchase  fast delivery within 3 days.   Well Packing.,0,0
6644641216,t*****8,194114553,1645434568,5," Great purchase! Professional quality prints!  This printer paper looks and feels premium. - It’s heavyweight and print quality is perfect. I bought A4-80gsm(5 ream) which can last for 1 year ",0,0
6644641216,k*****h,148337120,1653668556,5,Quality:good  Items well received and in good condition. Delivery was quite fast. Driver call and sms to inform. Will order more in the near future. Thank you,0,0
6644641216,syanrhzq,119468885,1642421245,5,delivery was ok. took about 3 working days ish. wrapped really well as u can see. i mean  its paper so its a good buy i guess? but just get from popular when its on discount also abt the same price.,0,0
6644641216,imfaatty,10279223,1636472569,5,Thanks to the seller that take noted my remark. They did help me wrap it. I sincerely appreciate to seller’s effort. Also  the delivery is fast. Received item within 2-4 days.,0,0
6644641216,t*****j,269139818,1683337844,5,Quality:ok  Delivery ok. All 3 packs came in a box and then wrapped with cling wrap  and delivery person rang door bell to inform which was good.,0,0
6644641216,s*****8,118089985,1698731571,5,Repeat buyer. No issues at all with speed of delivery and quality of goods. Will continue to buy from them as long as price is right. Thank you!,0,0
6644641216,alxtz,423179002,1696507155,5,Quality:very good  Thanks to millionparcel for securing my items with double plastic for protection and even putting an extra airbag inside  items were received and delivered well within 2 days. Definitely buying more next time! :-D,0,0
6644641216,c*****s,757517,1689627966,5,Repeat buy from seller  but first time buying the paper from them. It's super well packed in a box  and so happy that there's no damage to the edges/corners of the paper at all! Box is also useful to store the paper! Recommended!!,0,0
6644641216,s*****l,50469825,1640861615,5,Wonderful delivery with haste. The product is as per what you see from the store picture. It is the commonly use paper with the original standard present. I would like to recommend this and will consider buying it again in future. Great tool for office use. You might want to try it! Thanks!,0,0
6644641216,i*****y,48605766,1632406985,5,Came in the right weight  size and texture! Also  the correct colour  too! All delivered at no extra cost! I’ll never need to carry paper home again!,0,0
6644641216,m*****l,159570602,1685110598,5,Quality:good  Very fast and free delivery in 2 days using seller's delivery service. This is a repeat purchase and bought this batch during the 25th of the month Shopee promotion.,0,0
6644641216,ray84m0nd,256041104,1654059518,5,bought their paper one A4 size. Shipment was fast. The package packed well. Happy with the purchase. Thank you. Will definitely buy from them again if I need again.,0,0
6644641216,e*****s,250787749,1647249970,5,Prompt delivery of paper..the seller packed it very well..even though it was heavily raining on the day of the delivery.since the paper was nicely packed..I received it without any damage.will buy again,0,0
6644641216,l*****9,37098719,1696242916,5,Quality:very good  Fast delivery. Arrived just before I ran out of paper for printing at home. Good price too especially compared to PaperOne the original supplier.,0,0
6644641216,m*****n,216861004,1660742659,5,Quality:good  ‘Paper One’ is a trusted brand. I have been using this brand since secondary school Paper quality is good. The print out from the paper is acceptable. Thank you.,0,0
6644641216,p*****g,336707849,1632060764,5,Delivery was excellent and next day delivery. Paper purchase well sealed and no issue. worth getting this by delivery without need to carry as the 5 sets of paper heavy.,0,0
6644641216,k*****g,611027645,1648405722,5,Seller has one of the best packaging to ensure items are shipped out timely and to arrive in mint condition. Better priced than most retails. Appreciate seller's effort to pack the paper products to help prevent damage or tear during shipping!,0,0
6644641216,diyafadhullullah,100487895,1676907439,5,Quality:GREAT  THE BEST SELLER TO BUY FROM  bought 3-4 times with this seller and they still remember how i prefer it to be packed so its easy for me to store the 8x pack of A5 paper in 1 box around the house. Thank you for the SUPERB CS! ,0,0
6644641216,a*****x,281918147,1615430492,5,Items came right on time when I needed it. It is definitely wrapped well and no damages of items was found. Thank you for the splendid service! Would recommend and would definitely purchase again when needed! ,0,0
6644641216,clarence1881,63817726,1619158790,5,Repeat purchase from this seller. Prompt delivery and very good product and service. Poly bag and the bubble wraps are the best of quality and value for money. ,0,0
6644641216,j*****3,215955291,1634373206,5,Received the product  delivery was on time. The paper was also wrapped nicely so that water will not get in to spoil the paper. Considerate.,0,0
6644641216,anna2253,204092814,1637295309,5,Bought during promotion period. Deliver in a few days time. Need to pay delivery charges of around $1.50. So more advisable to buy more .,0,0
6644641216,maywongbs,74699955,1696905988,5,Quality:Normal paper  Normal paper. PaperOne is a reputable brand and I’ve been buying for the longest time. So it’s good! The delivery is super fast btw!,0,0
6644641216,8*****8,303785279,1649175384,5,Had a very good experience with this seller  Received the items in well package and good condition  products of excellent quality as it is described in the description. Recommend seller,0,0
6644641216,lydiachoa,51073780,1653374446,5,Excellent packaging o my 2 reams of paper we’re not crushed at all! They’ve cut the box and repurposed it to make the package tight and also used cling wrap to water proof the package. Much appreciated!,0,0
6644641216,whytoday,279717246,1638889092,5,HI FRIEND RECEIVED MY ORDERS ALL IN GOOD CONDITION THANK YOU SHOPEE AND SELLER. RECEIVED VERY FAST AFTER I ORDERED IN FEW DAYS. THANK YOU,0,0
6644641216,hanseng2,125223873,1628322477,5,"An ""essential item"" due to WFH. Bought 5 reams. Delivery was fast. Bought at Sgd30 and the next 2 days the Seller has a promo at Sgd19.90. Never mind  will buy next time when the seller holds promotion. ",0,0
6644641216,v*****m,73091763,1686001049,5,Quality:As expected  Paper quality as expected. Received item well and without damage. Seller shipped out product the day after order. Received item 3 days after.,0,0
