itemid,username,userid,ctime,rating,comment,fakeornot,confidence level
11472231251,p*****w,194748138,1685924130,5,Performance:base good Value For Money:yes  item received in good condition. tested and it is working fine  auto connect my phone. base sound not bad too. worth it! thanks.,0,0
11472231251,smartkok,242857322,1639715150,5,Item is properly packed with bubble wrapped and received in good condition. Product quality is acceptable and value for money. Will buy again in the near future!,0,0
11472231251,ariyanarman,562932470,1692433938,5,Value For Money:yes recommend Best Feature(s):noise cancellation Performance:very well the battery gone longer,0,0
11472231251,vchuasy,8669305,1680531321,5,Performance:good Best Feature(s):nice Value For Money:definitely  Delivery took a week  quality is good  sound quality also good,0,0
11472231251,chayadysarpin,92223540,1681955573,5,Value For Money:yes Best Feature(s):price Performance:good  Very cheap pricing. Quality good but not great Delivery took 10 days,0,0
11472231251,vishvamuthu,1078594555,1698156019,5,Value for the money perfectly fine  Sound is good Love it much,0,0
11472231251,dazayuaziz,125888794,1677945657,5,Received well. Great for the price. Lousy local delivery. Threw the parcel on the floor like thrash.,0,0
11472231251,5noran_04,401230391,1704617322,5,Performance:Very good Value For Money:worth it  All good. Worth the price,0,0
11472231251,rajaking661,707388240,1696399559,5,Best Feature(s):the headphones Value For Money:good! Performance:very nice  It’s very good base thanks for this its very very good,0,0
11472231251,p*****w,194748138,1689724972,5,Value For Money:yes Performance:good  received items in good condition. repeat purchase. good sound and base. it works properly and easy connected.,0,0
11472231251,c*****e,70675388,1691406471,2,Value For Money:it’s cheap for a TWS product that’s somewhat “compatible” to iPhone and Apple products  Pros: it’s cheap.  Cons:  -  it auto disconnect many times for no reason at all.  - Connection was poor at times and frustrating when it “stutters” to music. Been unable to solve this.  - it does not have ANC as advertised. Doesn’t work like original Apple iPods  no such options to choose from. So felt a little cheated based on title and description.,0,0
11472231251,chayadysarpin,92223540,1680095252,5,Performance:Good Best Feature(s):Price Value For Money:Yes  Very cheap product. Very good quality. Delivery took almost 10 days. No box  wrap in sponge.,0,0
11472231251,a*****i,335828234,1681130426,1,Best Feature(s):realistic Performance:alright Value For Money:yes  Used for like a few days and it stopped working,0,0
11472231251,maple_eee,570643245,1691981894,5,Value For Money:pricing was good for something that is good quality Best Feature(s):connects to phone easily,0,0
11472231251,t*****a,172798234,1697176884,5,Best Feature(s):as advertised Performance:as advertised Value For Money:Good buy  Good buy. Fast delivery. Thank you.,0,0
11472231251,m*****e,513403690,1696769271,5,it’s pretty noise cancelling! super worth the price  will buy again & recommend this to others too 3),0,0
11472231251,v*****3,62093464,1689000334,5,Sound not good  . Pricing is good. Delivery takes 2 weeks.,0,0
11472231251,a*****0,839353899,1695902696,5,Haven't try but hope its good sound and quality thank u shoope,0,0
11472231251,keely617,996343763,1689814040,5,Best Feature(s):real  good buy! feels real and legit even though it’s a DUUUUUPE. i love fake stuff!,0,0
11472231251,e*****s,253357111,1693799180,5,Best Feature(s):noise cancelling. sound was loud in my ears but even my video cant capture it Value For Money:definitely. actually feels pretty real or might be even better than the airpods i use to have. idk quite surprised by the quality didnt expect much. Performance:actually good so far,0,0
11472231251,e*****n,332598203,1697205096,5,Performance:gd Value For Money:yes Best Feature(s):all  worth it for its price and looks like the real airpods. thanks seller,0,0
11472231251,tanpangboon,184985696,1695090768,4,Value For Money:not really Performance:not bad work as normal Best Feature(s):battery life last quite long  Build quality is very bad and the touch control is too sensitive,0,0
11472231251,emilena987,225394887,1686005005,5,Great customer service  item received well packed. Have not tried it out but thanks!,0,0
11472231251,virility,276040,1697362133,5,Best Feature(s):same Value For Money:yes Performance:not sure  Have yet to try and now letting it charged first to see hows the battery life is..,0,0
11472231251,d*****a,188757629,1696235582,4,Performance:damn solid!! Best Feature(s):the sound Value For Money:Super value for money  Apple AirPods dupe  very nice,0,0
11472231251,jrrrj634,1108864726,1699784370,1,Performance:poor Value For Money:no  The case came late  and broken. Only one of the earbuds work too.,0,0
11472231251,m*****a,51000657,1688711574,5,Best Feature(s):beautiful Performance:good Value For Money:fair  It sounds good. But yeah fair for the price i guess,0,0
11472231251,dxniindra,953661618,1683970640,5,Value For Money:very worth Performance:10/10 Best Feature(s):audio and look  its very comfortable and easy to clean the audio and battery life is very good,0,0
11472231251,f*****0,894898662,1699425114,5,Best Feature(s):good Performance:good Value For Money:good  looks brand new  doesn't come in a box tho!!  cld listen to the beat when I used this airpods rather than the others,0,0
11472231251,nxrliaaa,253483381,1685935218,5,Best Feature(s):the sound base is 10/10 Value For Money:YES Performance:GOOD,0,0
11472231251,hajalwnx,489649786,1682343988,5,Nice airpods and fit perfectly genuine and its like airpods pro! Loud volume and long lasting battery,0,0
11472231251,e*****s,253357111,1702092583,5,Value For Money:yes Performance:good Best Feature(s):clear sound easy connection  second time buying,0,0
11472231251,anthony271202,14277135,1701744362,5,Performance:Good Best Feature(s):Cheap Value For Money:Definitely  It is a good buy for me .. Hope it will last for sometime ..,0,0
11472231251,c*****l,4179884,1691443135,5,Item received in good condition. Delivery time was acceptable. Received same as what photo has shown. Item was nicely secured. Would buy again! Thanks,0,0
11472231251,malyanamaax,187955769,1684512776,5,The sound is less than perfect definitely  but it make do. I bought something similar for 49 something  and this definitely worth the price,0,0
