itemid,username,userid,ctime,rating,comment,fakeornot,confidence level
19769522951,manuelkimberlyvender,1035291620,1695866214,5,The product arrived early and was properly packed. It is nice and will surely order again. I hope my bro will like this. This fabric is breathable and suits for any gender.,0,0
19769522951,q*****e,160479521,1689245237,5,Quality:ok Suggested Look:casual Wearing Comfort:alright Suitable Occasion:casual Styling:street Value for Money:ok  Material is not superb but for the price paid  it was ok. Size a little small for a 38 and I wear a 38 actually for the actual Nike Air Jordan but this one is a bit small and shld order one size bigger than the usual size you wear. Overall ok.,0,0
19769522951,nabi1str0,287058772,1700901380,5,Material Quality:good quality for the price  delivery time is what you would expect  box was a bit dented but product wasn’t affected. shoe fits true to size so overall i am satisfied,0,0
19769522951,janethvillamor810,650939226,1692437696,1,too small  the size i order size 39 but same to size 37,0,0
19769522951,yummycola,175229968,1692604386,4,got some random hole in the shoes… I mean you get what you paid for,0,0
19769522951,mdprodhan496,1006005106,1699283558,5,Good I like it,0,0
23413528237,bybxhuuhua,692753015,1671902062,5,Material: ok Color: beautiful True to the description: standard  The price is right for the price Really quality product quality product Shop with enthusiastic and reputable advice 5 stars,0,0
23413528237,cqbrphamhiep,692673535,1671898573,5,Material: ok Color: beautiful True to the description: standard  Good quality product of good quality Fast delivery and good quality and quality The price is always reasonable,0,0
23413528237,ucewphucvu776,692594680,1671899588,5,Material: ok Color: beautiful True to the description: ok  Good product good product Always quality ae. enthusiastic advice shop  You should buy me a,0,0
23413528237,eoocluongdat,692662127,1671901382,5,Material: ok Color: beautiful True to the description: standard  Very nice and reliable shoes.  Reasonable price vs students always  I will support the shop,0,0
23413528237,ivdadungho,692454441,1671900044,5,Material: ok Color: beautiful True to the description: standard  Always standard. very good quality shop Goods can't be faulted Suitable for money 5 stars zá,0,0
