itemid,username,userid,ctime,rating,comment,fakeornot,confidence level
23843981623,wctan72,81890536,1702181016,5,Appearance:Nice Performance:Good Quality:Good  Item came quickly. Very light and compact. Definitely a good buy for the price paid. Will be handy during this wet season.,0,0
23843981623,u65kknfplm,988926177,1686227384,5,Very Sturdy umbrella .Bought it at best price. The grip is perfect and the weight is also less than I expected.it is small enough so that it can be fitted inside big purse or backpack.Looks like it is built with quality materials. Need to see the durability with the usage and time..,0,0
23843981623,8xdtsk9019,528569961,1704982566,5,Performance:good Appearance:hood Quality:good  The delivery is very fast. I love the colour  the light weight and the size. The quality of the umbrella is good. It will be good to keep in my small bag.,0,0
23843981623,z*****r,82949794,1694246885,4,Appearance:great Quality:great  Was expecting nicer white probably due to images advertise on it.  Also thought it should be smaller. For smaller bags.  Fast delivery  size quite okay. But good buy.  Definitely recommended,0,0
23843981623,tanyachiam,231521595,1693444413,5,Appearance:Good. As shown exactly. Performance:only time will tell Quality:not the slimmest because I guess it's made of UV shielding material. looks and feels sturdy. opens well  without struggling. fast delivery too.,0,0
23843981623,g_6pprmvl6,378838748,1692945814,5,Performance:great Quality:thick and sturdy Appearance:great  Super fast delivery. So glad i bought 12 at a go! Makes a great gift! Love that it's velcro and tie are broad and the folds are neat. Great price! Thanks seller!,0,0
23843981623,c*****5,902067338,1695732134,5,Quality:feels good  but yet to try Appearance:love the colours Performance:not sure as yet  Received the items faster than expected. It’s lightweight as stated.   Hopefully it’s sturdy!,0,0
23843981623,d*****y,384635395,1698148806,5,Quality:Quality quite okay. Performance:Good. Had the same one before. bought this as spare one. Appearance:Color is so nice.  Lightweight. Color and material as shown. Reasonable price. Item received few days after placed order. Satisfied with purchased.,0,0
23843981623,qu03np9w1s,892766295,1686219722,5,What u see is what u get super affordable plus good quality and of course the design so pretty .Worth the price.Suitable for protection from the sun or light rains. Love the size of this umbrella.,0,0
23843981623,e*****n,140466553,1695792071,5,Performance:not yet tried Quality:ok Appearance:ok  Well its small. I like it. I prefer pink but i wanna make it unisex so my bf can also use without embarrassing him hahahaha,0,0
23843981623,g*****_,44817690,1698893102,5,Performance:Great Quality:Good quality Appearance:beautiful colour  Lost my umbrella so I got this. The quality is good  light enough but not too light also cause need to maintain the quality. Nice little pouch to hold the umbrella. It has UV protection and the whole thing feels stable  not flimsy.   Plus the colour is so pretty! Lavender kind of colour. ,0,0
23843981623,yukihannah1208,252473311,1689411500,5,Packaging was well wrapped. Fast delivery! Umbrella is pretty small and light. It is the size of my handphone. I love this product and will definitely recommend my friends. Thank you  seller.  ,0,0
23843981623,christiesp,122295342,1697713936,5,Performance:good Quality:worth it Appearance:pretty  loved it its super light and good fits well in my bag and easy to keep quality is as what u paid for,0,0
23843981623,sim.sandra,74016288,1696083396,5,Quality:good Appearance:Good price Performance:Good  Received in good condition.  Fast delivery . Great service . Quality quite solid . Good . Hope it will long lasting . Thank you ..,0,0
